date,OT,1,2,3,4,5,6,7
2012/2/6,7.58,4,24,13.42,63.9,9,25.3,0.2
2012/2/7,7.56,4,24,13.44,64,9.2,25.3,0.2
2012/2/8,7.6,4,24,13.4,63.8,9,25.3,0.3
2012/2/9,7.77,4,24,14.23,64.7,8.8,25.4,0.3
2012/2/10,7.66,4,24,14.34,65.2,8,25.4,0.3
2012/2/11,7.68,4,24,14.32,65.1,8.8,25.4,0.3
2012/2/12,7.33,4,24,13.67,65.1,8.7,25.4,0.3
2012/2/13,7.24,4,24,13.76,65.5,8.5,25.4,0.3
2012/2/14,7.18,4,24,13.82,65.8,8.5,25.3,0.4
2012/2/15,10.18,5,23.75,18.82,64.9,7.5,19.8,0.3
2012/2/16,8.47,5,24,20.53,70.8,6.3,20.4,0.3
2012/2/17,8.61,5,24,20.39,70.3,6.8,20.4,0.3
2012/2/18,14.32,5,24,28.68,66.7,6.7,20.7,0.3
2012/2/19,17.01,5,24,29.99,63.8,6.7,20.8,0.3
2012/2/20,11.45,5,24,17.55,60.5,6.5,20.8,0.3
2012/2/21,11.2,5,24,16.8,60,6.5,20.8,0.3
2012/2/22,10.53,5,24,17.47,62.4,6.5,20.8,0.3
2012/2/23,10.91,5,24,16.09,59.6,6.5,20.8,0.3
2012/2/24,11.34,5,24,16.66,59.5,6.5,20.8,0.3
2012/2/25,10.48,5,24,16.52,61.2,6.5,20.8,0.3
2012/2/26,11.09,5,24,16.91,60.4,6.5,20.8,0.3
2012/2/27,10.02,5,24,16.98,62.9,6.5,20.8,0.3
2012/2/28,10.92,5,24,17.08,61,6.5,20.8,0.3
2012/2/29,10.23,5,24,16.77,62.1,6.5,20.8,0.3
2012/3/1,0.74,5,3,1.26,63.1,6.5,20.8,0.3
2012/3/2,0,5,0,0,0,0,40.8,0
2012/3/3,0,5,0,0,0,0,40.8,0
2012/3/4,0,5,0,0,0,0,40.8,0
2012/3/5,13.43,5,21.25,22.57,62.7,7,19.6,0.3
2012/3/6,9.52,5,24,15.48,61.9,6.5,21.8,0.3
2012/3/7,11.89,5,24,17.11,59,6,21.2,0.3
2012/3/8,10.85,5,24,16.15,59.8,6,21.2,0.3
2012/3/9,10.78,5,24,17.22,61.5,6,21,0.3
2012/3/10,10.19,5,24,17.81,63.6,6,21,0.3
2012/3/11,10.68,5,24,19.32,64.4,6,20.8,0.3
2012/3/12,9,5,24,15,62.5,6,20.8,0.3
2012/3/13,10.47,5,24,17.53,62.6,6,20.8,0.3
2012/3/14,9.75,5,24,16.25,62.5,6,20.8,0.3
2012/3/15,10.5,5,24,17.5,62.5,6,20.8,0.3
2012/3/16,9.86,5,24,18.14,64.8,6,20.2,0.3
2012/3/17,10.18,5,24,16.82,62.3,6,20.4,0.3
2012/3/18,10.44,5,23.42,17.56,62.7,6.5,20.6,0.3
2012/3/19,9.96,5,24,17.04,63.1,6,20.2,0.3
2012/3/20,10.5,5,24,16.5,61.1,6,20,0.3
2012/3/21,10.5,5,24,16.5,61.1,6,20,0.3
2012/3/22,10.73,5,24,18.27,63,6,20,0.3
2012/3/23,9.88,5,24,17.12,63.4,6,20,0.2
2012/3/24,10.61,5,24,17.39,62.1,6,20,0.3
2012/3/25,9.77,5,24,17.23,63.8,6.4,20,0.3
2012/3/26,10.07,5,24,16.93,62.7,6.8,20,0.3
2012/3/27,9.96,5,24,17.04,63.1,6.8,20,0.3
2012/3/28,10.67,5,24,17.33,61.9,6.6,20,0.3
2012/3/29,10.64,5,24,17.36,62,6.7,19.5,0.3
2012/3/30,9.86,5,24,18.14,64.8,6.8,19.6,0.3
2012/3/31,9.27,5,24,18.73,66.9,6.5,19.6,0.3
