date,AC,SP,GR,OT
1447.75,277.5360892,82.079,81.644,16.9
1448.625,235.8628609,82.878,71.625,6.3
1448.875,231.8733596,80.909,65.271,10.5
1449.5,266.2959318,76.547,59.87,17
1449.875,270.3116798,77.513,67.543,13.2
1450.125,264.8917323,79.139,71.297,18.5
1450.375,265.8562992,80.82,74.977,20.2
1450.625,279.6456693,82.498,80.643,19.9
1450.875,284.5603675,83.754,86.735,20.4
1452,260.3248031,80.05,74.364,14.6
1452.125,263.484252,79.922,74.423,16.2
1452.625,295.1279528,84.835,86.506,19.9
1454.375,249.242126,85.38,74.281,9.6
1454.75,254.1732283,84.072,71.53,12.2
1455,260.4232283,83.755,75.318,14.7
1455.25,263.8385827,84.543,82.141,16.1
1455.625,252.5754593,84.609,80.36,7.9
1456,250.1377953,81.922,76.158,14.8
1456.375,253.3956693,79.357,76.214,15
1456.625,251.8930446,79.932,75.879,17.6
1456.75,250.5019685,80.539,74.479,18.1
1457.375,242.4114173,82.212,68.063,10.3
1457.5,248.3825459,82.276,69.332,14.1
1457.75,263.1233596,84.366,75.282,15.6
1457.875,268.5793963,85.627,80.208,15.4
